workerId,chart,data_size,true_percentage,error,responseTime
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,150,83,8,3903
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,300,17,2,9077
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,150,62,3,7784
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,300,77,13,4774
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,150,38,3,5748
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,300,62,2,5988
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,75,47,8,5363
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,300,23,3,8201
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,150,8,3,4521
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,75,38,2,6671
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,300,8,3,6810
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,75,77,7,8143
77e0532fb74ad4ff44d2e0f3fd398031f8a378d9,WB,75,83,7,8578
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,75,92,7,7066
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,75,8,2,7018
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,150,17,13,7376
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,300,77,12,8105
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,150,8,3,4728
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,75,23,12,5331
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,75,77,2,5950
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,75,17,3,5787
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,300,53,13,9179
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,300,62,2,7430
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,150,47,7,6560
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,75,38,27,4815
